2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=PC accepted=37
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ATHA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ATHA accepted=38
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SPRC
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=SPRC accepted=39
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ZJYL
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ZJYL accepted=40
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=LAUR
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=LAUR
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=KIDZ
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=KIDZ accepted=41
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FENC
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FENC accepted=42
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=LQDT
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=LQDT accepted=43
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=AIIO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=AIIO accepted=44
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=RCON
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=RCON accepted=45
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FOFO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FOFO accepted=46
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CLNE
