2025-12-31 16:59:47,963 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=SVRN interval=1d path=cache\54771f7a7a7fb7c139e4cd13.parquet
2025-12-31 16:59:47,963 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=SVRN interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,116 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=SVRN interval=1d
2025-12-31 16:59:48,116 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=TLNCW interval=1d path=cache\c8cd9cab2d3459068a4e2aa6.parquet
2025-12-31 16:59:48,116 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=TLNCW interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,224 | WARNING | backtest_v15.data | DATA_EMPTY ticker=TLNCW interval=1d
2025-12-31 16:59:48,224 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ATHR interval=1d path=cache\996abc24801ef7517da3c466.parquet
2025-12-31 16:59:48,224 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ATHR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,365 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ATHR interval=1d
2025-12-31 16:59:48,365 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=XELLL interval=1d path=cache\3a1710fca2ab55f383934097.parquet
2025-12-31 16:59:48,366 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=XELLL interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,484 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=XELLL interval=1d
2025-12-31 16:59:48,484 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=BIRD interval=1d path=cache\5f9d02a479f2663fbaea77c7.parquet
2025-12-31 16:59:48,484 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=BIRD interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,730 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=BIRD interval=1d
2025-12-31 16:59:48,730 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ABTC interval=1d path=cache\d10a8e996c802fef5e1ef0dc.parquet
2025-12-31 16:59:48,730 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ABTC interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:48,886 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ABTC interval=1d
2025-12-31 16:59:48,886 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=BANF interval=1d path=cache\48914c84870722342b6a87ea.parquet
2025-12-31 16:59:48,887 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=BANF interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:49,096 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=BANF interval=1d
